Ind,Gender,age_range,Occ_code,Partner_status,Region,Lodgment_method,PHI_Ind,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
134708,0,10,6,0,301,S,0,4540,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4936,0,0,136,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,209,0,0,143
236790,0,9,2,0,304,A,1,58734,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72240,0,0,0,336,132706,0,0,0,5620,628,0,0,0,0,336,0,6584,0,0,14870,0,0,0,0,3426,44983,496,0,0,126122,0,10806,0,0,14911
256978,1,8,2,0,306,A,0,39953,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40120,0,0,228,0,104,0,0,46,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,39742,0,3646,0,0,17411
238870,0,4,3,1,504,A,1,112494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112494,3530,0,430,0,273,0,0,0,0,138,0,4371,0,0,0,0,0,19914,0,0,0,0,0,0,108123,0,7100,0,0,36183
138195,1,8,2,0,124,A,1,94213,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94289,2411,3065,864,0,1746,0,0,185,0,61,0,8332,0,0,0,0,0,0,0,0,0,0,0,0,85957,0,8715,0,0,85751
219151,1,5,1,1,101,A,1,111628,268,0,12,0,69,154,66,-1640,8194,6518,53,3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110557,299,22,0,0,218,0,0,191,0,216,0,946,0,0,0,0,0,54000,0,0,0,5,0,0,109611,0,0,11636,9638,856569
43087,0,0,9,0,122,A,0,3473,0,0,821,16106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662,0,0,23062,0,0,0,0,277,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,22785,0,236,0,0,137940
196883,0,5,4,1,314,A,1,109627,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109916,0,0,0,0,2054,0,0,192,0,211,0,2457,0,0,0,0,0,75541,0,5005,0,0,0,0,107459,0,0,0,14293,186021
256040,0,7,0,1,116,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9911,0,42698,0,32787,0,0,0,0,0,0,0,0,9911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56521,0,0,0,0,0,0,9911,0,634,0,0,15478
151878,0,1,0,0,303,A,0,0,0,0,0,0,0,0,0,2160,10004,5844,992,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,0,154,0,154,0,1605,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0
8278,1,3,5,1,107,A,1,46258,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46277,1506,0,158,0,1866,0,0,771,0,211,0,4512,0,0,0,0,0,46609,0,3654,0,0,0,0,41765,0,8638,0,0,165402
143762,1,6,2,1,119,A,1,55004,0,0,1,0,0,0,0,-24788,26379,25017,22065,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30217,0,0,177,0,407,0,0,734,0,226,0,1544,0,0,0,0,0,0,0,0,0,0,0,0,28673,0,4619,0,0,79232
16394,0,5,0,1,318,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495,7495,0,0,0,0,0,0,0,0,0,225,0,225,0,0,0,0,0,40884,0,0,0,0,0,0,7270,0,0,922,1382,103111
177164,0,9,7,0,602,A,0,54079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,0,3295,0,1743,0,0,0,0,0,0,0,23,55654,0,0,136,0,0,0,0,0,0,151,0,287,0,0,0,0,0,0,0,0,554,0,0,0,55367,0,4488,0,0,26231
188767,1,2,2,1,313,A,1,34751,0,0,112,0,0,0,0,-3886,7095,3566,7415,0,0,0,0,0,0,0,0,0,0,0,0,2042,0,0,0,33019,0,0,18,0,841,0,0,117,0,0,0,976,0,0,0,0,0,80158,0,2010,0,0,0,0,32043,0,5624,0,0,126716
253022,0,8,1,1,125,A,1,22316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22316,0,0,130,0,0,0,0,52,0,94,0,276,0,0,0,0,0,0,0,0,0,0,0,0,22040,0,1319,0,0,3943
33564,0,6,3,1,508,A,0,55703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55703,0,0,150,0,195,0,0,0,0,158,0,503,0,0,0,0,0,32829,0,0,0,0,0,0,55200,0,2657,0,0,27400
174146,0,8,9,0,204,A,0,33160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33160,3465,0,315,0,6318,0,0,0,0,327,0,10425,0,0,0,0,0,0,0,0,5185,0,0,0,22735,0,2664,0,0,34958
103386,0,5,2,1,212,A,0,36556,29,0,41,0,0,0,0,0,0,0,0,0,0,0,13992,0,29764,0,15772,0,0,0,0,0,0,0,0,50618,4200,0,0,0,245,0,0,0,0,352,0,4797,0,0,0,0,0,51871,0,0,0,0,0,0,45821,0,3311,0,0,54222
92252,0,2,0,1,213,A,0,0,0,0,7377,0,0,0,0,0,0,0,0,0,0,0,21111,0,29597,0,8486,0,0,0,0,0,0,0,0,28488,0,0,0,0,0,0,0,0,0,177,0,177,0,0,0,0,0,57033,0,0,0,0,0,0,28311,0,0,0,0,18085
140275,0,11,6,0,801,S,1,12571,123,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12715,0,0,53,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,12662,0,1155,0,114,1600
33095,0,2,2,1,211,A,1,70654,0,0,455,0,0,0,0,3687,7465,3666,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74796,0,0,0,0,91,0,0,1943,0,118,0,2152,0,0,0,0,0,47369,0,16207,1534,0,0,0,72644,0,22922,0,0,687673
44698,0,6,5,1,308,A,1,118917,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,119322,0,0,156,0,163,0,0,0,0,188,0,507,0,0,4886,0,0,33236,0,0,0,0,0,0,118815,0,11190,0,432,128262
208017,0,0,0,1,503,A,1,0,0,0,299,7190,0,0,0,0,0,0,0,0,0,0,256,0,256,0,0,0,0,0,0,0,35983,0,0,43728,0,0,0,0,0,0,0,583,0,187,0,770,0,0,0,0,0,3228,0,0,0,0,0,0,42958,0,0,0,0,18259
159525,1,8,6,1,116,A,0,7970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7970,62,0,153,0,296,0,0,32,0,0,0,543,0,0,0,0,0,56135,0,0,0,0,0,0,7427,0,696,0,127,31215
75551,1,6,8,1,205,A,0,12201,0,0,0,0,0,0,0,0,18065,260,17805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12201,0,0,163,0,0,0,0,0,0,0,0,163,0,0,0,0,0,11655,0,0,0,0,0,0,12038,0,0,0,165,32042
137726,0,9,3,0,309,A,1,60764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60764,7290,759,393,0,683,0,0,0,0,401,0,9526,0,0,0,0,0,0,0,0,0,0,0,0,51238,0,5370,0,0,33220
201981,0,3,0,0,405,A,1,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18993,0,0,19165,0,0,0,0,0,0,0,0,0,165,94,259,0,0,0,0,0,0,0,0,0,0,0,0,18906,0,0,0,0,0
193396,1,0,0,0,309,A,0,0,0,0,23042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,0,0,1015,4994,30038,0,0,0,0,0,0,1089,0,0,354,0,1443,0,0,0,0,1015,0,0,0,0,0,0,0,28595,0,0,0,0,0
179978,0,10,7,0,506,A,0,38480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38480,0,0,157,0,393,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,37930,0,2584,0,0,2323
250473,1,8,9,1,211,S,0,514,0,0,555,9939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13872,0,0,0,0,0,0,11008,0,0,0,0,0
94332,1,1,0,1,206,A,1,0,0,0,778,14203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6976,0,0,0,0,0,8005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,0,0,0,0,0
249066,1,9,4,1,507,A,0,25898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25898,0,0,326,0,0,0,0,0,0,111,0,437,0,0,0,0,0,45098,0,0,0,0,0,0,25461,0,1931,0,0,15931
255102,1,10,2,0,316,A,0,48067,93,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48182,548,0,164,0,0,0,0,546,0,81,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,46843,0,4174,0,0,14292
153020,0,8,1,0,206,A,1,77394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77394,0,0,164,0,595,0,0,0,0,0,0,759,0,0,3738,0,0,0,0,0,0,0,0,0,76635,0,8192,0,0,38996
222638,0,10,6,0,503,A,1,26520,0,0,183,0,8,3314,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49210,0,0,0,0,80656,0,0,324,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,80332,0,2475,0,0,20231
223780,1,9,9,0,509,A,0,52627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52627,0,0,142,0,0,0,0,0,0,88,0,230,0,0,0,0,0,0,0,0,0,0,0,0,52397,0,4703,0,0,23011
153958,1,7,1,1,121,A,0,20678,13326,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34041,0,0,0,0,276,0,0,0,0,0,0,276,0,0,0,0,0,54826,0,0,0,0,0,0,33765,0,0,0,0,997
240481,1,10,2,0,401,A,0,514,0,0,80,4304,0,0,0,0,0,0,0,0,0,0,14783,0,21679,0,6896,0,0,0,0,0,0,0,0,19681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19681,26134,0,18,18,480
181324,1,1,0,0,216,S,0,0,0,0,0,0,0,4657,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6653,0,0,0,0,216464
37724,0,1,0,1,902,S,0,0,0,0,0,0,0,0,0,8294,20214,11920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8294,0,0,0,0,0
29139,1,5,5,1,507,A,1,30574,0,0,8930,0,0,1864,798,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,42178,0,0,0,0,273,0,0,32,0,298,0,603,0,0,0,0,0,245831,0,0,0,0,0,0,41575,0,3025,0,0,97441
233303,0,10,9,0,507,A,0,62036,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62419,2984,0,1607,0,971,0,0,814,0,146,0,6522,0,0,0,0,0,0,0,0,0,0,0,0,55897,0,0,3110,9613,55634
187829,0,0,0,1,311,A,1,0,0,0,4333,0,0,0,0,0,0,0,0,0,0,-13235,0,0,0,13235,0,0,0,0,0,0,0,0,8926,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25353,0,0,0,0,0,0,24,0,0,0,0,0
158587,0,8,4,1,402,A,0,59728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59728,0,0,165,0,157,0,0,0,0,254,0,576,0,0,0,0,0,961,0,0,0,0,0,0,59152,0,5347,0,0,57522
82260,1,3,2,1,217,A,1,74090,26,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2275,0,0,0,0,2275,74236,3326,26,139,0,422,0,0,340,0,104,0,4357,0,0,15391,0,0,125052,0,0,0,0,0,0,69879,0,4801,0,0,135440
170659,1,10,8,0,508,S,0,30014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30014,0,0,328,0,0,0,0,9,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,29677,0,2546,0,0,5195
251146,1,11,6,0,209,A,0,17382,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17640,0,0,163,0,0,0,0,0,0,53,0,216,0,0,0,0,0,0,0,0,0,0,0,0,17424,0,1453,0,11,1236
96412,0,5,2,1,208,A,1,16551,0,0,7348,0,102,149,63,-9806,39433,18820,30419,0,0,0,1196403,0,1435026,0,313260,0,38117,0,26920,0,0,2691,90,1240511,0,0,0,0,0,21720,0,0,0,6455,15705,43880,0,0,15487,0,2691,160015,18715,15980,269810,173,0,0,1196631,0,23968,136502,0,508722
40273,0,6,0,0,210,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87878,0,0,0,0,87878,0,0,0,0,0,0,0,0,0,0,230,230,0,0,0,0,0,0,0,0,33700,0,0,0,87648,0,0,0,0,66523
232365,0,10,6,0,115,S,0,20070,0,0,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,22148,0,0,162,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,21986,48331,1758,0,184,8638
113113,0,4,0,1,121,A,1,0,0,0,0,0,0,0,0,-4919,42887,24025,12231,11550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730,811,0,0,0,0,0,0,0,0,0,145,0,145,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,6271
178306,0,6,1,1,120,A,1,85920,0,0,4135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259733,0,16174,0,0,0,0,90055,0,26850,0,0,14006
151613,0,8,2,1,505,A,1,60043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60043,0,0,277,0,0,0,0,0,0,221,0,498,0,0,0,0,0,52800,0,0,0,0,0,0,59545,0,10728,0,0,54175
200574,0,2,4,1,402,A,0,30995,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31047,1045,0,312,0,347,0,0,0,0,101,0,1805,0,0,0,0,0,39783,0,0,0,0,0,0,29242,0,2886,0,378,28953
208221,1,1,5,1,503,S,1,3868,0,0,41210,0,1592,34924,14971,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,848,0,0,43,0,97456,0,0,0,0,181,0,34,18,0,0,0,233,0,0,0,0,43,0,0,29520,23462,0,0,0,97223,0,32837,139200,0,2059379
114724,0,9,7,1,311,S,0,80057,701,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81091,1420,518,235,0,461,0,0,0,0,0,0,2634,0,0,0,0,0,76257,0,0,0,0,0,0,78457,0,4341,0,0,34440
253695,1,9,1,1,214,A,0,43569,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43632,0,0,292,0,0,0,0,19,0,116,0,427,0,0,0,0,0,54134,0,0,0,0,0,0,43205,0,3121,0,0,4166
75755,1,6,0,1,115,A,1,0,0,0,12145,0,0,0,0,0,0,0,0,0,0,0,2800,0,2878,0,78,0,0,0,0,0,0,0,0,14945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22308,0,0,0,0,0,0,14945,0,0,0,0,17023
45371,0,3,2,1,211,A,1,140636,0,0,94,0,9,526,225,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,0,0,0,0,0,0,141490,0,0,0,0,968,0,0,1192,0,258,0,2418,0,0,7803,0,0,8035,0,7763,0,0,0,0,139072,0,22727,0,0,698970
138664,0,9,8,1,108,S,0,9240,84,0,0,10867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20191,0,701,0,0,16925
92456,0,3,0,1,212,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102755,9134,0,0,0,111889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123738,0,0,0,0,0,0,111889,0,0,0,0,126679
201716,0,2,7,1,402,A,1,76845,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,79910,2689,0,261,0,431,0,0,0,0,23,0,3404,0,0,0,0,0,19991,0,0,0,0,0,0,76506,0,3608,0,0,6137
247190,0,10,6,0,122,A,1,79083,0,0,23,0,0,0,0,-5712,23754,9958,19508,0,0,0,0,0,0,0,0,0,0,0,70107,0,0,0,14,143515,0,0,140,0,281,0,0,0,0,20,0,441,0,0,0,0,0,0,0,18469,2000,0,0,0,143074,0,23800,0,0,46361
46513,1,4,1,1,318,S,1,98820,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99013,0,0,0,0,402,0,0,46,0,0,0,448,0,0,0,0,0,52982,0,0,0,0,0,0,98565,0,0,9395,8734,454924
126327,1,9,8,0,117,A,0,10920,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10965,0,412,0,0,160
50469,0,2,0,1,501,A,1,0,0,0,24437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892162,916599,0,0,0,0,0,0,0,0,0,140227,0,140227,0,0,0,0,715237,16737,0,0,11872,0,0,0,776372,0,0,0,0,175584
57647,0,7,3,1,313,S,0,37542,39,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38368,0,0,344,0,216,0,0,0,0,0,0,560,0,0,0,0,0,4255,0,362,0,0,0,0,37808,0,4259,0,0,42144
39539,1,3,3,1,312,A,0,37755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37755,0,0,388,0,1096,0,0,0,0,143,0,1627,0,0,18309,0,0,57949,0,2028,0,0,0,0,36128,0,7376,0,0,71284
85013,0,2,0,1,119,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19386,0,50531,0,31146,0,0,0,0,0,0,0,0,19386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43617,0,0,0,0,0,0,19386,0,0,0,0,0
159260,1,5,2,0,209,A,0,12923,0,0,43,6643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19609,0,0,0,0,265,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,19344,0,0,0,0,0
103590,1,5,5,1,213,A,1,54796,0,0,1242,0,0,380,163,-5441,9072,5246,9267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51140,603,0,0,0,1618,0,0,969,0,189,0,3379,0,0,0,0,0,115813,0,9892,0,0,0,0,47761,0,14256,0,0,509274
29343,1,5,4,0,214,S,0,19434,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19644,0,0,0,0,0,0,0,150,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,19494,0,2417,0,339,21537
86889,0,0,2,1,208,S,1,20612,0,0,914,0,0,0,0,10282,16356,6074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31808,488,0,603,0,971,0,76,494,0,0,0,2632,0,0,0,779,0,34443,0,0,0,0,0,0,29176,0,1856,0,356,651702
173147,1,7,5,1,311,A,1,29056,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6942,0,0,0,0,36112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51545,0,1357,1151,0,0,0,36112,3544,3994,159,229,40870
207487,0,1,7,1,505,A,1,75328,0,0,324,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75702,0,0,162,0,718,0,0,261,0,131,0,1272,0,0,0,0,0,324,0,0,0,0,0,0,74430,0,12794,0,0,205766
104263,0,7,1,1,104,A,1,92291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92291,0,0,165,0,1319,0,0,0,0,103,0,1587,0,0,14868,0,0,71418,0,3808,0,0,0,0,90704,0,14245,0,0,136023
54160,0,7,2,1,314,A,1,155254,0,597,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551,17514,0,-3401,0,0,14,719,158834,0,0,0,0,2867,0,0,283,0,623,2234,6007,0,0,0,4204,14,3667,0,0,0,0,0,0,152827,0,11824,0,0,227272
143701,0,8,1,1,215,A,1,88744,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88746,1018,0,248,0,478,0,0,0,0,0,0,1744,0,0,0,0,0,101,0,0,0,0,0,0,87002,0,6965,0,0,51957
104732,0,8,9,1,502,A,1,57212,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20593,0,0,0,0,0,0,57221,0,4330,0,670,21775
78977,0,0,0,1,126,A,1,0,0,0,49,4345,0,2181,934,476,10464,3797,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,50082,0,0,58067,0,0,0,0,0,0,0,0,0,346,0,346,0,0,0,0,0,5401,0,0,0,14,0,0,57721,0,0,0,0,0
238809,0,10,2,0,303,S,1,6707,0,0,64,6486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13257,3915,383,0,107,1316
138603,1,9,2,1,205,A,0,24540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24540,0,0,159,0,0,0,0,14,0,144,0,317,0,0,0,0,0,0,0,0,0,0,0,0,24223,0,1564,0,0,19719
14457,1,4,2,0,119,A,1,84359,0,0,45,0,0,0,0,9980,34164,7624,16560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94384,1778,0,0,0,2777,0,0,46,0,0,0,4601,0,0,0,0,0,0,0,0,0,0,0,0,89783,0,8092,0,0,174092
74083,1,7,2,1,303,S,0,64302,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64725,0,0,0,0,582,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,64143,0,12489,0,0,29121
240889,0,9,5,0,213,S,0,47314,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47631,0,3938,0,279,13418
106343,1,8,6,0,506,A,1,65411,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,66230,102,0,160,0,0,0,0,0,0,158,0,420,0,0,0,0,0,0,0,0,0,0,0,0,65810,0,6458,0,0,36521
47186,1,5,0,1,110,A,0,0,0,0,743,0,0,225,96,0,0,0,0,0,0,-31101,0,25900,0,57000,0,0,0,0,0,0,0,0,30189,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87280,0,0,0,0,0,0,152,0,0,0,0,0
198902,0,4,4,0,306,A,0,57406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57406,0,0,123,0,0,0,0,0,0,174,0,297,0,0,0,0,0,0,0,0,0,0,0,0,57109,0,2777,1089,7620,182643
134647,1,6,1,0,121,A,0,0,0,0,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2746,0,0,0,357,7758,0,0,0,0,558,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,711,0,0,7200,0,0,0,0,0
139745,0,9,3,1,310,A,1,118434,1474,0,263,0,0,0,0,-892,3469,1021,2352,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119279,2196,0,165,0,1931,0,0,27,0,147,0,4466,0,0,0,0,0,6853,0,0,0,0,0,0,114813,0,11612,4147,0,87289
249005,1,8,5,1,209,A,1,53826,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54055,0,0,0,0,482,0,0,25,0,71,0,578,0,0,0,0,0,46331,0,0,0,0,0,0,53477,0,5179,0,0,17305
